w,x,y,z,x,y,z,w,x,y,z,x,y,z,w,x,y,z,x,y,z,w,x,y,z,x,y,z,w,x,y,z,x,y,z,w,x,y,z,x,y,z
-0.0158176,-0.000294838,0.9998615,-0.005187298,0.5948833,181.8125,359.9756,-0.04139137,0.008117957,0.9989331,0.0188178,357.8069,184.7294,0.8406476,0.2694603,-0.3277779,0.9054222,0.012799,348.4734,150.6968,323.2209,0.7556614,0.008948497,0.4806809,0.4447941,335.5384,53.78912,48.41473,-0.3987914,0.2955103,0.8215063,-0.2806547,13.02788,237.4353,46.72846,-0.9248958,0.1189952,0.3577546,0.04919554,13.02788,237.4353,46.72846
-0.01568829,-0.000290149,0.999864,-0.005084258,0.5830656,181.7977,359.9759,-0.04130518,0.008157616,0.9989349,0.01889155,357.7983,184.7193,0.8450344,0.2695349,-0.3278206,0.9053853,0.01274305,348.4752,150.6869,323.2152,0.7556899,0.008862853,0.4806769,0.4447521,335.533,53.78649,48.40601,-0.398835,0.295447,0.8215067,-0.2806577,13.02964,237.4402,46.72232,-0.9248989,0.119136,0.3576969,0.04921304,13.02964,237.4402,46.72232
-0.01554342,-0.000319644,0.9998667,-0.005011502,0.5747783,181.7811,359.9723,-0.04122405,0.008202614,0.9989372,0.01892609,357.7943,184.7099,0.8502067,0.2695879,-0.3278477,0.9053606,0.01267969,348.479,150.6791,323.211,0.7557407,0.008831747,0.4806617,0.4446828,335.5352,53.78483,48.39641,-0.3988866,0.2954105,0.8214883,-0.2806772,13.03084,237.4472,46.72034,-0.9248752,0.1193371,0.3576961,0.04917963,13.03084,237.4472,46.72034
-0.01542898,-0.000356767,0.9998689,-0.00491243,0.5634891,181.768,359.9678,-0.04115365,0.008214673,0.9989402,0.01890851,357.7963,184.7018,0.8518258,0.2696401,-0.3278795,0.9053349,0.01257895,348.4867,150.6702,323.2053,0.755815,0.008761406,0.4806081,0.4446156,335.5356,53.77676,48.38633,-0.3989182,0.2954052,0.8214727,-0.2806833,13.03006,237.4514,46.72055,-0.9248581,0.1194192,0.3577143,0.04916991,13.03006,237.4514,46.72055
-0.01535346,-0.000431624,0.9998703,-0.004875117,0.5593429,181.7593,359.9591,-0.04112107,0.008217544,0.998942,0.01888962,357.7984,184.6981,0.8523148,0.269708,-0.3279169,0.9053025,0.0124855,348.4929,150.6598,323.1993,0.7558995,0.008654088,0.4805262,0.4445627,335.5333,53.7634,48.37715,-0.3988352,0.2955276,0.8214736,-0.2806696,13.02591,237.4417,46.73191,-0.9248624,0.1193243,0.3577346,0.04916809,13.02591,237.4417,46.73191
-0.01537162,-0.000475472,0.9998702,-0.004832258,0.5545101,181.7613,359.954,-0.04106952,0.008193849,0.9989449,0.01885252,357.8028,184.6922,0.8498868,0.2697978,-0.327993,0.9052493,0.01240956,348.4951,150.6478,323.1893,0.7559628,0.008419856,0.4804525,0.4445394,335.5166,53.74615,48.36623,-0.3986767,0.2956871,0.8215007,-0.2806478,13.02272,237.4228,46.74585,-0.9248464,0.1192594,0.3577903,0.04922727,13.02272,237.4228,46.74585
-0.01535191,-0.00049244,0.9998706,-0.004801363,0.5509992,181.759,359.952,-0.04102764,0.008199779,0.9989481,0.0187798,357.8112,184.6875,0.850997,0.2698939,-0.3280841,0.9051889,0.01232059,348.4981,150.6349,323.1773,0.756033,0.008169748,0.4803846,0.4444982,335.4991,53.72947,48.35229,-0.3984551,0.2959063,0.8215472,-0.2805953,13.01662,237.3949,46.76336,-0.9247913,0.1193335,0.3579059,0.04923726,13.01662,237.3949,46.76336
-0.01527247,-0.0005197,0.9998717,-0.004817128,0.5528494,181.7499,359.9489,-0.04095031,0.008200803,0.9989531,0.01868154,357.8225,184.6787,0.8517407,0.2700364,-0.3281271,0.9051324,0.01220178,348.5039,150.6152,323.1707,0.7560986,0.008050419,0.4803353,0.4444421,335.494,53.72005,48.34147,-0.3982937,0.2960769,0.821564,-0.2805957,13.01483,237.3772,46.78008,-0.9247093,0.1194853,0.3580632,0.04926495,13.01483,237.3772,46.78008
-0.01518737,-0.000566407,0.999873,-0.004798247,0.5507631,181.7402,359.9435,-0.04089901,0.008191772,0.9989568,0.01858995,357.8331,184.6729,0.8512434,0.2701715,-0.3281705,0.9050775,0.01210194,348.508,150.5969,323.1646,0.7561681,0.007988915,0.4802678,0.4443974,335.4947,53.71001,48.3349,-0.3982088,0.2961808,0.8215521,-0.2806404,13.01686,237.371,46.79362,-0.9246404,0.1196216,0.3581921,0.04929116,13.01686,237.371,46.79362
-0.01513329,-0.000596029,0.999874,-0.004786468,0.5494617,181.7339,359.94,-0.04087701,0.008159568,0.9989592,0.01852477,357.8407,184.6705,0.8479043,0.2702945,-0.3282045,0.9050297,0.01201925,348.511,150.5804,323.1598,0.7562566,0.007817648,0.4801577,0.444369,335.4864,53.69027,48.3268,-0.3981463,0.2962394,0.8215451,-0.2806884,13.0207,237.3672,46.80274,-0.9245986,0.1196797,0.358272,0.0493546,13.0207,237.3672,46.80274
-0.01514702,-0.00057918,0.9998738,-0.004780777,0.5487812,181.7355,359.9419,-0.04078154,0.008138085,0.9989648,0.01844274,357.8503,184.6596,0.8460295,0.2703499,-0.3282514,0.9049963,0.01199464,348.5101,150.5738,323.1541,0.756353,0.007590927,0.4800267,0.4443506,335.4733,53.66568,48.31815,-0.3979469,0.2963704,0.821569,-0.2807626,13.02948,237.3496,46.82008,-0.9245732,0.1196993,0.3583274,0.04938072,13.02948,237.3496,46.82008
-0.01513118,-0.000623655,0.999874,-0.004775614,0.5482658,181.7337,359.9368,-0.04066305,0.008159706,0.9989708,0.01836536,357.8591,184.646,0.8491189,0.2704388,-0.3282881,0.9049569,0.01196172,348.509,150.5629,323.1499,0.7564358,0.007427894,0.4799157,0.4443322,335.4652,53.6459,48.31167,-0.3979231,0.2963597,0.8215653,-0.2808177,13.03602,237.3503,46.82263,-0.9245427,0.1198043,0.3583733,0.04936057,13.03602,237.3503,46.82263
-0.01520741,-0.000643942,0.9998729,-0.004761202,0.5466547,181.7424,359.9345,-0.04044005,0.00817237,0.9989851,0.01807812,357.8922,184.6206,0.8523666,0.2706786,-0.3282904,0.904888,0.0116957,348.528,150.5267,323.1457,0.7565733,0.007144682,0.4797637,0.444267,335.4507,53.61759,48.29534,-0.3979123,0.2963202,0.8215737,-0.2808509,13.04172,237.3509,46.82062,-0.9244871,0.1201228,0.3584308,0.04921222,13.04172,237.3509,46.82062
-0.01529028,-0.000653647,0.9998714,-0.004809488,0.5522096,181.7519,359.9335,-0.04052967,0.008141937,0.9989832,0.01799646,357.9016,184.631,0.8490669,0.270799,-0.328345,0.9048334,0.01159056,348.5329,150.5101,323.1378,0.7566258,0.00706248,0.4797238,0.4442218,335.4479,53.61047,48.28722,-0.3978501,0.296324,0.8215989,-0.2808611,13.04553,237.3442,46.82108,-0.9244875,0.1201016,0.358447,0.04913627,13.04553,237.3442,46.82108
-0.01537117,-0.000665362,0.9998698,-0.004868613,0.5590101,181.7612,359.9323,-0.04054858,0.008118906,0.9989847,0.01788337,357.9146,184.6333,0.8469095,0.270941,-0.3283578,0.9047873,0.01150244,348.5364,150.491,323.1357,0.7566918,0.006989837,0.4796714,0.4441669,335.4473,53.60224,48.27856,-0.3977523,0.2963306,0.8216484,-0.2808483,13.04902,237.3318,46.81979,-0.9245073,0.119957,0.358455,0.04906161,13.04902,237.3318,46.81979
-0.01541178,-0.000682132,0.999869,-0.004920143,0.5649469,181.7658,359.9305,-0.03925519,0.008523061,0.9990287,0.01812157,357.8866,184.4839,0.8948504,0.2710304,-0.3283577,0.9047612,0.01145267,348.5382,150.4791,323.1354,0.7567237,0.006887451,0.4796156,0.4441747,335.4402,53.59124,48.27661,-0.3976808,0.2963271,0.8216648,-0.2809053,13.05773,237.327,46.82272,-0.9245625,0.11966,0.3584305,0.048928,13.05773,237.327,46.82272
-0.0154475,-0.000677931,0.9998684,-0.004928769,0.5659301,181.7699,359.9311,-0.03936048,0.008459014,0.9990277,0.01797176,357.904,184.4962,0.8879592,0.2710284,-0.3283987,0.9047468,0.01147063,348.5352,150.4804,323.1309,0.7567313,0.006780975,0.4795896,0.4441913,335.4305,53.58385,48.2749,-0.3976434,0.2963189,0.821654,-0.2809978,13.068,237.3286,46.82809,-0.9246108,0.1194071,0.3584121,0.04876608,13.068,237.3286,46.82809
-0.01551579,-0.000706281,0.9998676,-0.00487709,0.5600638,181.7777,359.9277,-0.03985538,0.008367766,0.999007,0.01806745,357.893,184.5531,0.8760339,0.2709606,-0.3285118,0.9047252,0.01153219,348.5277,150.4914,323.1182,0.7567263,0.006666794,0.4795815,0.4442106,335.4189,53.57846,48.2728,-0.3976827,0.2962097,0.8216488,-0.281073,13.07884,237.3372,46.82211,-0.9246005,0.1193708,0.3584718,0.04860935,13.07884,237.3372,46.82211
-0.01561473,-0.000731773,0.9998665,-0.004785626,0.5496368,181.789,359.9247,-0.04008122,0.00825439,0.9989985,0.01809373,357.8903,184.5792,0.8624493,0.2708768,-0.3286498,0.9046995,0.01158286,348.5212,150.5043,323.102,0.7566859,0.006621547,0.4795914,0.4442691,335.4105,53.57703,48.27803,-0.3976483,0.2961207,0.8216876,-0.281102,13.08829,237.3343,46.81417,-0.9245998,0.1193825,0.3584854,0.0484942,13.08829,237.3343,46.81417
-0.01567815,-0.000723617,0.9998659,-0.004702118,0.5400587,181.7963,359.9255,-0.03970096,0.008321544,0.9990109,0.01821924,357.8759,184.5354,0.8703803,0.270806,-0.3287645,0.9046789,0.01158964,348.5196,150.5139,323.0877,0.7566524,0.006532155,0.479624,0.4442925,335.3987,53.57774,48.27653,-0.3975482,0.2962066,0.8217151,-0.2810721,13.08579,237.3212,46.82022,-0.9246129,0.1193851,0.358462,0.04840929,13.08579,237.3212,46.82022
-0.01564452,-0.00073966,0.9998667,-0.004632372,0.5320936,181.7925,359.9236,-0.03959858,0.008282701,0.9990166,0.01815224,357.8839,184.5237,0.866449,0.2707366,-0.3288419,0.904672,0.01156983,348.5219,150.5221,323.0773,0.7565989,0.006359257,0.4796678,0.4443389,335.3769,53.57661,48.27422,-0.3974329,0.2962528,0.8217629,-0.2810472,13.08681,237.3063,46.82215,-0.9246222,0.1194359,0.3584218,0.04840702,13.08681,237.3063,46.82215
-0.01557307,-0.000809416,0.9998678,-0.004626177,0.5315028,181.7842,359.9155,-0.03946464,0.008269435,0.9990233,0.01807699,357.8927,184.5085,0.8655501,0.2706151,-0.3289663,0.9046627,0.01157503,348.5221,150.5377,323.0613,0.7565433,0.006202951,0.4797724,0.4443223,335.3571,53.58533,48.2633,-0.397504,0.2961394,0.8217613,-0.2810705,13.09183,237.3153,46.81233,-0.9246339,0.1195066,0.3583575,0.04848138,13.09183,237.3153,46.81233
-0.01557307,-0.000809416,0.9998678,-0.004626177,0.5315028,181.7842,359.9155,-0.03946464,0.008269435,0.9990233,0.01807699,357.8927,184.5085,0.8655501,0.2704924,-0.3291131,0.9046464,0.01154546,348.5254,150.5524,323.0417,0.7564632,0.006026991,0.4799163,0.4443058,335.3332,53.59854,48.25067,-0.3976749,0.2959225,0.8217168,-0.2811871,13.10583,237.3413,46.79913,-0.9246867,0.1193956,0.3582521,0.04852727,13.10583,237.3413,46.79913
-0.01531318,-0.000881609,0.9998721,-0.004563774,0.5244573,181.7544,359.907,-0.03916468,0.008250533,0.9990352,0.01808369,357.8923,184.4741,0.8639877,0.2703868,-0.3292879,0.9046149,0.0115137,348.5273,150.5655,323.019,0.756367,0.00580769,0.4800551,0.4443227,335.3034,53.60891,48.24054,-0.3978539,0.2956901,0.8216818,-0.2812808,13.11838,237.3667,46.7827,-0.9247067,0.1193672,0.3582033,0.0485758,13.11838,237.3667,46.7827
-0.01502508,-0.000957283,0.9998764,-0.004558082,0.5239086,181.7214,359.8982,-0.03890967,0.008253235,0.9990456,0.01805544,357.8957,184.4448,0.8649603,0.2703132,-0.3294508,0.9045783,0.01145663,348.5311,150.5739,322.9974,0.7562909,0.005570233,0.4801558,0.4443461,335.2736,53.61355,48.23138,-0.3980072,0.295543,0.8216543,-0.2812985,13.12074,237.3848,46.76974,-0.9247075,0.1193579,0.358202,0.0485953,13.12074,237.3848,46.76974
-0.01461701,-0.001037358,0.999882,-0.004636766,0.5330167,181.6745,359.8889,-0.03858316,0.008228847,0.9990584,0.0180605,357.8955,184.4074,0.8628318,0.2702349,-0.3295767,0.9045566,0.01140958,348.5351,150.5828,322.9804,0.7562765,0.00533662,0.4801968,0.4443293,335.25,53.61131,48.21872,-0.3980099,0.2955285,0.8217118,-0.2811423,13.10812,237.3747,46.75694,-0.9247053,0.1192404,0.3582479,0.04858562,13.10812,237.3747,46.75694
-0.0141792,-0.001094026,0.9998882,-0.004646851,0.5342156,181.6243,359.8822,-0.03820401,0.00819843,0.9990726,0.01809799,357.8917,184.364,0.8599834,0.2701594,-0.3296833,0.9045408,0.01136643,348.5392,150.5913,322.9658,0.7563283,0.005146943,0.4801677,0.4442751,335.2369,53.60215,48.2048,-0.3980099,0.2955285,0.821712,-0.2811423,13.10812,237.3747,46.75693,-0.9247415,0.1189655,0.358247,0.04857706,13.10812,237.3747,46.75693
-0.01332121,-0.001118008,0.9998997,-0.004700059,0.5402476,181.526,359.8791,-0.03786601,0.00814506,0.9990844,0.01817514,357.8834,184.3252,0.8542507,0.2701508,-0.3297247,0.9045293,0.01128595,348.5468,150.5901,322.9589,0.7564147,0.005015694,0.4800962,0.4442069,335.2326,53.5897,48.19252,-0.3980619,0.2953601,0.8218067,-0.2809685,13.10052,237.368,46.72674,-0.9247736,0.1186298,0.3582734,0.04859151,13.10052,237.368,46.72674
-0.01332121,-0.001118008,0.9998997,-0.004700059,0.5402476,181.526,359.8791,-0.03786601,0.00814506,0.9990844,0.01817514,357.8834,184.3252,0.8542507,0.27027,-0.3297555,0.9044833,0.01120789,348.5495,150.5742,322.9545,0.7565191,0.004931994,0.4799943,0.4441399,335.2344,53.57486,48.18307,-0.3980035,0.2953584,0.8218598,-0.2808973,13.09751,237.3564,46.72077,-0.9247818,0.1183975,0.3583201,0.04865725,13.09751,237.3564,46.72077
-0.01244071,-0.001280222,0.9999109,-0.004689935,0.5392122,181.425,359.86,-0.03737403,0.007927282,0.9991021,0.01832473,357.8676,184.2692,0.829707,0.2704691,-0.3297674,0.904421,0.0110979,348.5532,150.5479,322.9525,0.7566208,0.004742064,0.4798592,0.444115,335.2254,53.55116,48.1753,-0.3978952,0.2954133,0.8219312,-0.2807845,13.09015,237.3365,46.71737,-0.9247063,0.1183812,0.3584983,0.04882169,13.09015,237.3365,46.71737
-0.01206282,-0.001383403,0.9999155,-0.0046426,0.5338779,181.3816,359.8479,-0.03682446,0.007770357,0.9991242,0.01828944,357.8727,184.2065,0.8130476,0.2709687,-0.3299062,0.904224,0.01082101,348.5591,150.4829,322.9343,0.7567881,0.004103899,0.4794841,0.4442411,335.1779,53.47756,48.1737,-0.3977854,0.2954255,0.8220289,-0.2806409,13.08274,237.3142,46.70714,-0.9245178,0.1184038,0.3589348,0.04912739,13.08274,237.3142,46.70714
-0.01175353,-0.001502894,0.9999192,-0.00461854,0.5312347,181.3461,359.834,-0.03645693,0.00769176,0.9991395,0.01822288,357.881,184.1645,0.8051003,0.2712364,-0.3300815,0.9040812,0.01070235,348.5559,150.4502,322.9132,0.7568911,0.003785633,0.4792951,0.4442726,335.1563,53.44125,48.16903,-0.397624,0.2954675,0.8221403,-0.2804992,13.07636,237.2861,46.69969,-0.9244423,0.1182428,0.3591781,0.04915762,13.07636,237.2861,46.69969
-0.01153383,-0.001586289,0.9999218,-0.004597687,0.5289189,181.3209,359.8243,-0.03645693,0.00769176,0.9991396,0.01822288,357.881,184.1645,0.8051003,0.2715469,-0.3302964,0.9039109,0.01059439,348.5487,150.4134,322.8881,0.7570184,0.003453933,0.4790901,0.4442795,335.1357,53.40291,48.16113,-0.3974346,0.295498,0.8222428,-0.2804353,13.07871,237.2596,46.6963,-0.9243613,0.118065,0.3594417,0.04918422,13.07871,237.2596,46.6963
